ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
8B8A826EA1FB6246,docked_bike,2021-04-02 18:06:51,2021-04-02 18:42:17,Paulus Hook,JC002,Astor Place,JC077,40.714145,-74.033551,40.71928220070702,-74.07126188278198,member
6ECB53933BB5424E,docked_bike,2021-04-06 21:19:27,2021-04-06 21:59:56,Bergen Ave,JC095,Bergen Ave,JC095,40.722103,-74.071455,40.722103786686034,-74.07145500183105,casual
DC8E726CDD4A3FDE,docked_bike,2021-04-07 17:26:47,2021-04-07 17:31:01,Bergen Ave,JC095,Lincoln Park,JC053,40.722103,-74.071455,40.7246050998869,-74.07840594649315,member
CDBF0A93464AB439,docked_bike,2021-04-30 20:23:42,2021-04-30 20:32:12,Jersey & 6th St,JC027,Hoboken Ave at Monmouth St,JC105,40.725289,-74.045571,40.73520838045357,-74.04696375131607,casual
7AC523690FC1E82E,docked_bike,2021-04-23 18:48:11,2021-04-23 18:57:29,Paulus Hook,JC002,Washington St,JC098,40.714145,-74.033551,40.7242941,-74.0354826,casual
0617DB8739597246,docked_bike,2021-04-13 13:28:37,2021-04-13 13:33:42,Harborside,JC104,Grand St,JC102,40.719251,-74.034234,40.71517767732029,-74.03768330812454,member
73AE8B414F243EBF,docked_bike,2021-04-06 15:42:49,2021-04-06 15:47:11,Bergen Ave,JC095,Baldwin at Montgomery,JC020,40.722103,-74.071455,40.7236589,-74.0641943,member
DDAFB6F944706A53,docked_bike,2021-04-02 18:43:54,2021-04-02 18:53:39,Paulus Hook,JC002,Newport PATH,JC066,40.714145,-74.033551,40.7272235,-74.0337589,member
BE3F6D9F02AF3A42,docked_bike,2021-04-17 13:25:14,2021-04-17 14:45:45,Bergen Ave,JC095,W 34 St & 11 Ave,6578.01,40.722103,-74.071455,40.75594159,-74.0021163,member
0B8A6D26027CA92D,docked_bike,2021-04-10 16:13:22,2021-04-10 16:30:31,Bergen Ave,JC095,Columbus Drive,JC014,40.722103,-74.071455,40.71835519823214,-74.03891444206238,casual
5D4F37953DBAE7E2,docked_bike,2021-04-14 19:46:11,2021-04-14 19:53:52,Harborside,JC104,Manila & 1st,JC082,40.719251,-74.034234,40.721650724879986,-74.04288411140442,member
4BE80A631B6C43FC,docked_bike,2021-04-09 07:03:56,2021-04-09 07:07:59,Paulus Hook,JC002,Marin Light Rail,JC013,40.714145,-74.033551,40.71458403535893,-74.04281705617905,member
E8C48C86DB751C01,docked_bike,2021-04-10 10:51:54,2021-04-10 11:38:41,Paulus Hook,JC002,Marin Light Rail,JC013,40.714145,-74.033551,40.71458403535893,-74.04281705617905,casual
632FAFFA93D87DD7,docked_bike,2021-04-04 17:30:29,2021-04-04 18:01:45,Lincoln Park,JC053,Dey St,JC065,40.724605,-74.078405,40.737711,-74.066921,member
A64AD2154D3B4FEE,docked_bike,2021-04-17 18:31:58,2021-04-17 18:47:09,Grand St,JC102,Hilltop,JC019,40.715177,-74.037683,40.7311689,-74.0575736,member
AA257AF2EAAB35CE,docked_bike,2021-04-25 13:50:07,2021-04-25 14:40:34,Astor Place,JC077,Communipaw & Berry Lane,JC084,40.719282,-74.071261,40.71435836870427,-74.06661093235016,member
8B75497291996F9B,docked_bike,2021-04-05 15:05:33,2021-04-05 15:39:52,Bergen Ave,JC095,Jackson Square,JC063,40.722103,-74.071455,40.71113,-74.0789,casual
9C2746760024D9BE,docked_bike,2021-04-05 15:03:40,2021-04-05 15:39:56,Bergen Ave,JC095,Jackson Square,JC063,40.722103,-74.071455,40.71113,-74.0789,casual
6E9F930F7C374CB0,docked_bike,2021-04-10 19:11:57,2021-04-10 19:24:37,Bergen Ave,JC095,City Hall,JC003,40.722103,-74.071455,40.7177325,-74.043845,casual
6BD23EBE223F0A3F,docked_bike,2021-04-14 16:46:28,2021-04-14 16:54:59,Bergen Ave,JC095,Dixon Mills,JC076,40.722103,-74.071455,40.721630142638354,-74.04996782541275,casual
DE980E5B2E9775F0,docked_bike,2021-04-07 18:26:57,2021-04-07 18:40:06,Bergen Ave,JC095,Hamilton Park,JC009,40.722103,-74.071455,40.727595966,-74.044247311,casual
166CE559527E1CA5,docked_bike,2021-04-20 16:23:15,2021-04-20 16:31:31,Bergen Ave,JC095,Brunswick St,JC023,40.722103,-74.071455,40.7241765,-74.0506564,casual
7C2A69F738096231,docked_bike,2021-04-04 16:38:33,2021-04-04 17:01:14,Warren St,JC006,5 Corners Library,JC018,40.721123,-74.03805,40.734961020009514,-74.0595030784607,member
5872A81602E76188,docked_bike,2021-04-29 09:10:11,2021-04-29 09:49:03,Bergen Ave,JC095,Watts St & Greenwich St,5578.02,40.722103,-74.071455,40.72405549,-74.00965965,member
2301E9347FADCAAA,docked_bike,2021-04-17 19:00:24,2021-04-17 19:24:50,Paulus Hook,JC002,Newport Pkwy,JC008,40.714145,-74.033551,40.7287448,-74.0321082,member
889FCC28BC5E62C6,docked_bike,2021-04-17 14:24:04,2021-04-17 14:28:38,Warren St,JC006,Newark Ave,JC032,40.721123,-74.03805,40.72152515,-74.046304543,member
588B57B1C6C6C5EF,docked_bike,2021-04-18 18:41:42,2021-04-18 19:24:58,Bergen Ave,JC095,Union St,JC051,40.722103,-74.071455,40.7182113,-74.0836394,member
251768405B203586,docked_bike,2021-04-10 14:09:19,2021-04-10 14:29:18,Jersey & 6th St,JC027,Heights Elevator,JC059,40.725289,-74.045572,40.748716,-74.040443,member
